# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
NGC3379|10.7971102|12.5816381|233.4901852|57.6328171|0.106|0.975|-4.8|E|918.9|14.9|13.1271432059152|10.227|0.173|-20.043|||10.757|9.267|30.27|0.011|11.3240060195459|1.689|2MASXJ10474959+1234538,CGCG066-018,GIN773,LEO1:[TT2002]02,LEO_GROUP:[FS90]025,LGG217:[G93]004,MCG+02-28-011,MESSIER105,NGC3379,NIBLES1105,PGC032256,SDSSJ104749.60+123453.9,UGC05902,UZC104512+12510
NGC4697|12.8099796|-5.8007715|301.6330594|57.0638182|0.128|0.94|-4.5|E|1240.5|3|17.7214285714286|10.25|0.44|-20.187|7.89|0.114|10.64|9.369|30.437|0.078|12.2292565230771|1.854|2MASXJ12483590-0548030,GIN796,LGG314:[G93]003,MCG-01-33-010,NGC4697,PGC043276,UGCA300
NGC4699|12.8172736|-8.6643056|301.917169|54.2027174|0.148|0.92|2.9|SABb|1395.3|2.7|19.9328578404018|10.382|0.152|-21.426|8.585|0.071|10.742|9.53|31.808|0.355|22.9932368483722|1.601|2MASXJ12490218-0839514,6dFJ1249022-083952,HIPASSJ1249-08,IRAS12464-0823,LGG307:[G93]005,MCG-01-33-013,NGC4699,PGC043321,UGCA301
NGC4254|12.3137821|14.4167921|270.4303838|75.1900577|0.168|0.67|5.2|Sc|2407.4|8|34.3914271763393|10.396|0.05|-20.374|9.08|0.269|10.911|9.841|30.77|1.127|14.2560789413165|1.702|2MASXJ12184962+1424593,AGC007345,ALFALFA1-248,CGCG098-144,CGCG099-011,EVCC0319,HIPASSJ1218+14,IRAS12162+1441,LGG285:[G93]011,MCG+03-31-099,MESSIER099,MRC1216+146,NGC4254,PGC039578,PIN-WHEEL_NEBULA,SDSSJ121849.60+142459.4,UGC07345,UZC121618+14420,VCC0307
NGC4579|12.6287586|11.8181349|290.3969999|74.3551825|0.176|0.905|2.8|Sb|1516.9|1.8|21.6700003487723|10.438|0.096|-21.089|8.865|0.11|11.588|10.297|31.527|0.194|20.2022660164659|1.7|2MASXJ12374359+1149051,AGC007796,CGCG070-197,EVCC0965,IRAS12351+1205,IRAS12352+1205,LGG289:[G93]047,M58,MCG+02-32-160,MESSIER058,NGC4579,PGC042168,SDSSJ123743.52+114905.4,UGC07796,UZC123512+12050,VCC1727,[RG2008]J189.43137+11.81818,[TH2002]007
NGC3992|11.9599946|53.374515|140.0917048|61.9234268|0.127|0.835|4|Sbc|1047.2|1.8|14.9599993024554|10.479|0.218|-21.469|8.866|0.078|10.679|9.883|31.948|0.274|24.5244903437244|1.849|2MASXJ11573598+5322282,CGCG269-023,IRAS11549+5339,IRAS11550+5339,LGG258:[G93]006,MCG+09-20-044,MESSIER109,NGC3992,PGC037617,PGC2439331,UGC06937,UZC115500+53390
NGC4365|12.4077947|7.3167467|283.8058084|69.1809144|0.093|0.98|-4.8|E|1221|3|17.4428571428571|10.5|0.081|-21.307|9.01|0.1|11.681|9.433|31.807|0.049|22.9826361359976|1.709|2MASXJ12242822+0719030,ACSVCS007,CGCG042-083,EVCC0518,GIN777,LGG289:[G93]029,MCG+01-32-048,NGC4365,PGC040375,SDSSJ122428.25+071904.0,UGC07488,UZC122154+07350,VCC0731
NGC2146|6.3104606|78.3569316|135.6535122|24.8962847|0.415|0.88|2.3|SBab|896.4|4.8|12.8057146344866|10.534|0.67|-21.444|9.616|0.078|10.824|10.685|31.978|0.369|24.8656678517113|1.725|2MASXJ06183771+7821252,4C+78.06,CGCG348-017,IRAS06106+7822,IRAS06107+7822,KPG110A,MCG+13-05-022,NGC2146,PGC018797,UGC03429,UZC061030+78220
NGC5005|13.182298|37.058994|101.6131452|79.2492301|0.061|0.9|4|SABb|948.4|6.9|13.5485717773437|10.539|0.088|-21.121|8.582|0.064|10.849|10.709|31.66|0.05|21.4783032320395|1.683|2MASXJ13105631+3703321,CGCG189-035,IRAS13086+3719,LGG334:[G93]003,MCG+06-29-052,NGC5005,PGC045749,PGC2092196,SDSSJ131056.27+370332.3,UGC08256,UZC130836+37190
NGC1398|3.6478042|-26.3377639|221.5364872|-52.7839728|0.058|0.965|2|SBab|1399.3|4.3|19.9900006975446|10.552|0.112|-21.317|8.39|0.077|10.982|9.555|31.869|0.336|23.648298370442|1.842|2MASXJ03385213-2620162,6dFJ0338521-262016,ESO482-022,ESOLV4820220,HIPASSJ0338-26,IRAS03367-2629,MCG-04-09-040,NGC1398,PGC013434
NGC4526|12.567503|7.6992614|290.1592399|70.1386088|0.096|0.975|-1.9|S0|577.1|11.4|8.24428536551339|10.553|0.088|-20.375|10.11|1.472|12.574|9.593|30.928|0.031|15.3320384350214|1.842|2MASXJ12340302+0741569,ACSVCS008,AGC007718,CGCG042-155,EVCC0884,IRAS12315+0758,LGG288:[G93]012,MCG+01-32-100,NGC4526,PGC041772,SDSSJ123402.98+074157.4,SDSSJ123402.98+074157.5,UGC07718,UZC123130+07580,VCC1535
NGC4535|12.5723006|8.1979829|290.071115|70.6415277|0.084|0.72|5|Sc|1962.1|1.1|28.0299996512277|10.564|0.126|-20.309|9.958|1.213|14.56|9.895|30.873|0.023|14.9485764983778|1.911|2MASXJ12342031+0811519,AGC007727,CGCG042-159,EVCC0892,HIPASSJ1234+08,IRAS12317+0828,IRAS12318+0828,LGG296:[G93]003,MCG+01-32-104,NGC4535,PGC041812,SDSSJ123420.28+081152.7,UGC07727,UZC123148+08280,VCC1555
NGC1232|3.1626266|-20.5790414|208.7725912|-57.8090732|0.113|0.73|5|SABc|1610|15.6|23|10.565|0.077|-20.432|9.254|0.128|10.565|10.107|30.997|0.285|15.8270490436451|1.832|2MASXJ03094551-2034454,6dFJ0309454-203445,AGC022364,ARP041,ESO547-014,ESOLV5470140,HIPASSJ0309-20,IRAS03075-2046,MCG-04-08-032,NGC1232,PGC011819
NGC4621|12.7006222|11.6472733|294.3632245|74.3623888|0.14|0.975|-4.8|E|438.3|12.7|6.26142839704241|10.567|0.076|-20.276|8.917|0.187|11.818|9.559|30.843|0.047|14.7434826278526|1.658|2MASXJ12420232+1138489,ACSVCS009,CGCG070-223,EVCC2207,M59,MCG+02-32-183,MESSIER059,NGC4621,PGC042628,SDSSJ124202.25+113848.8,UGC07858,UZC123930+11550,VCC1903,[RG2008]J190.50940+11.64691,[TH2002]008
