# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    objtype = 'G' AND modbest between 26.5 AND 35.4 AND de2000>-30.0 AND -(modbest-bt)<-20

# Display the fields:              objname, al2000, de2000, l2, b2, ag, bve, t, type, v, e_v, (v/70), bt, e_bt, -(modbest-bt), it, e_it, ut, vt, modbest, e_modbest, 10*(10^(modbest/5))/1E6, logd25, hl_names(pgc)
# Order by:                        bt
# Description of each column
# objname: ------------- <NA>
#  al2000: ------------- <NA>
#  de2000: ------------- <NA>
#  l2: ----------------- <NA>
#  b2: ----------------- <NA>
#  ag: ----------------- <NA>
#  bve: ---------------- <NA>
#  t: ------------------ <NA>
#  type: --------------- <NA>
#  v: ------------------ <NA>
#  e_v: ---------------- <NA>
#  (v/70): ------------- <NA>
#  bt: ----------------- <NA>
#  e_bt: --------------- <NA>
#  -(modbest-bt): ------ <NA>
#  it: ----------------- <NA>
#  e_it: --------------- <NA>
#  ut: ----------------- <NA>
#  vt: ----------------- <NA>
#  modbest: ------------ <NA>
#  e_modbest: ---------- <NA>
#  10*(10^(modbest/5))/1E6:  <NA>
#  logd25: ------------- <NA>
#  hl_names(pgc): ------ <NA>
#-------|-------|-------|---|---|---|----|--|-----|--|----|-------|---|-----|--------------|---|-----|---|---|--------|----------|------------------------|-------|--------------
objname| al2000| de2000| l2| b2| ag| bve| t| type| v| e_v| (v/70)| bt| e_bt| -(modbest-bt)| it| e_it| ut| vt| modbest| e_modbest| 10*(10^(modbest/5))/1E6| logd25| hl_names(pgc)
ESO536-007|23.5420417|-24.0051528|38.4938853|-71.9509112|0.099||2.5|Sb|8156.2|28|116.517145647321|15.02|0.5|-20.325|13.784|0.101|||35.345|0.135|117.219602450329|1.098|2MASXJ23323134-2400185,6dFJ2332314-240019,AGC036124,ESO536-007,MCG-04-55-011,PGC071702,PGC794649
PGC024515|8.7308549|2.7138704|224.0037948|26.126958|0.17||2|Sab|7754.8|4.8|110.782854352679|15.021|0.34|-20.219|13.536|0.064|16.613||35.24|0.141|111.686411107433|0.977|2MASXJ08435105+0242503,AGC181130,CGCG033-001,GAMA422436,GAMAJ084351.08+024249.8,MCG+01-23-001,PGC024515,SDSSJ084351.08+024249.8,SDSSJ084351.08+024249.9,UZC084112+02540
PGC037696|11.9767314|18.8631234|244.4005944|75.3148018|0.142||3.4|Sb|6840.8|5.6|97.7257114955357|15.021|0.269|-20.008|13.96|0.063|16.093||35.029|0.156|101.344425644297|0.915|2MASXJ11583622+1851475,AGC210954,CGCG098-013,KIG0515,KUG1156+191,MCG+03-31-006,PGC037696,SDSSJ115836.23+185147.1,SDSSJ115836.24+185147.1,SDSSJ115836.24+185147.2,UZC115600+19080,[RGD2016]J115836.24+185147.2
PGC051048|14.2943507|12.9591877|2.1005606|65.3562059|0.097||4.3|Sbc|7419.2|2.6|105.98857421875|15.022|0.317|-20.194|14.081|0.113|16.085||35.216|0.143|110.458698218031|0.936|2MASXJ14173968+1257329,AGC240241,CGCG074-159,PGC051048,SDSSJ141739.64+125732.9,SDSSJ141739.65+125733.0,UZC141512+13110
UGC05246|9.7969456|23.7228466|207.0644925|48.6263186|0.146||4.6|Sc|7092.6|4.7|101.322858537946|15.023|0.28|-20.07|14.094|0.078|15.796||35.093|0.152|104.375772055067|0.866|2MASXJ09474900+2343219,ADBSJ094744+2343,AGC005246,CGCG122-087,MCG+04-23-036,PGC028156,SDSSJ094749.01+234322.0,SDSSJ094749.01+234322.1,UGC05246,UZC094500+23570
UGC06148|11.0994718|36.4070904|183.7745996|65.838753|0.07||3.1|Sb|7435.8|19.1|106.225711495536|15.023|0.331|-20.193|13.24|0.069|16.017||35.216|0.143|110.458698218031|1.12|2MASXJ11055807+3624252,2MFGC08648,CGCG184-056,CGCG185-005,EGISJ110558.1+362426,EONJ166.492+36.407,MCG+06-25-002,PGC033566,SDSSJ110558.07+362425.6,SDSSJ110558.08+362425.6,UGC06148,UZC110306+36400
NGC3644|11.35913|2.8105125|257.5871058|57.5408291|0.218||1.2|Sa|7143.1|1.8|102.044287109375|15.024|0.394|-20.069|13.4|0.104|16.097||35.093|0.152|104.375772055067|1.154|2MASXJ11213286+0248379,AGC006373,CGCG039-139,IC0684,MCG+01-29-037,NGC3644,NIBLES1226,PGC034814,SDSSJ112132.86+024837.5,SDSSJ112132.86+024837.7,SDSSJ112132.87+024837.5,SDSSJ112132.87+024837.7,UGC06373,UZC111854+03050,[EKS2015]RS0451
UGC03892|7.5193968|13.0595941|205.5393769|14.6292723|0.248||5.9|Sc|8101.5|3.7|115.735714285714|15.024|0.323|-20.321|13.45|0.1|||35.345|0.135|117.219602450329|1.139|2MASXJ07310977+1303344,2MFGC05965,CGCG057-018,MCG+02-19-005,PGC021197,UGC03892,UZC072818+13100
PGC034539|11.3032118|30.395182|198.3032976|69.3430499|0.077||3.3|SBb|7884.4|3|112.634284319196|15.025|0.336|-20.32|13.626|0.114|16.151||35.345|0.135|117.219602450329|0.994|2MASXJ11181156+3023425,2ZW051:,AGC210230,ARK285,CGCG156-054,MCG+05-27-049,PGC034539,SDSSJ111811.57+302342.6,SDSSJ111811.58+302342.6,UZC111530+30400
NGC7212|22.1172194|10.2333821|70.4232128|-35.3782613|0.315||3.4|Sb|7999|18.5|114.271428571429|15.025|0.323|-20.331||||14.8|35.356|0.134|117.814785960431|1.133|2MASXJ22070199+1014004,AGC011910,CGCG428-032,IRAS22045+0959,MCG+02-56-011,NGC7212,PGC068065,UGC11910,UZC220436+10000
PGC058354|16.4967528|67.3782778|99.399497|38.2612953|0.17||1.6|SABa|7616.8|67.6|108.81142578125|15.025|0.254|-20.285||||14.075|35.31|0.138|115.345398729271|0.967|2MASXJ16294831+6722418,CGCG320-030,KIG0745,MCG+11-20-016,MRK0885,PGC058354,UZC162942+67300
PGC000743|0.1768814|-6.6396869|95.7581634|-67.3320265|0.131||2.9|Sb|8166.9|7.9|116.669998604911|15.025|0.354|-20.342|13.548|0.077|||35.367|0.134|118.413199539969|0.958|2MASXJ00103678-0638229,6dFJ0010368-063823,MCG-01-01-045,PGC000743,PGC1030593
PGC042201|12.6348978|-8.3337198|297.2568457|54.3909311|0.14||3.2|SBb|7858|5.1|112.257142857143|15.025|0.372|-20.274|13.32|0.09|||35.299|0.138|114.762488604345|1.163|2MASXJ12380565-0820015,6dFJ1238056-082002,MCG-01-32-030,PGC042201
UGC11233|18.4289583|32.17875|60.052715|19.0950512|0.355||-2|S0|6804.9|11.2|97.2128557477679|15.027|0.272|-20.04|||||35.067|0.153|103.133621605158|0.993|2MASXJ18254421+3210439,CGCG172-036,MCG+05-43-021,NPM1G+32.0527,PGC061866,UGC11233,UZC182348+32080
UGC05268|9.8489549|62.1856908|150.3637809|44.1312456|0.12||2|Sab|7357.6|12|105.108572823661|15.027|0.315|-20.189|13.565|0.082|16.074||35.216|0.143|110.458698218031|1.123|2MASXJ09505623+6211088,2MIG1336,CGCG289-020,KIG0374,KUG0947+624,MCG+10-14-043,PGC028353,SDSSJ095056.23+621108.5,SDSSJ095056.24+621108.5,UGC05268,UZC094712+62250
PGC037780|11.9933915|21.2476863|236.605827|76.8084218|0.108||-1|S0-a|7518|24|107.4|15.027|0.41|-20.213|||||35.24|0.142|111.686411107433|0.956|2MASXJ11593628+2114513,CGCG127-130,MCG+04-28-115,PGC037780,UZC115700+21320
PGC030901|10.491357|64.2936427|144.3836398|46.4837957|0.044||0|S0-a|6822.8|2.9|97.4685686383929|15.028|0.357|-20.027|13.349|0.094|16.286||35.055|0.154|102.565207039515|1.15|2MASXJ10292888+6417372,CGCG313-019,MCG+11-13-026,NPM1G+64.0075,PGC030901,SDSSJ102928.87+641737.0,SDSSJ102928.88+641737.0,SDSSJ102928.88+641737.1,UZC102554+64340
PGC071206|23.3643966|-0.6907642|80.0944406|-55.9255796|0.172||4|Sbc|7268.4|3.8|103.834284319196|15.028|0.283|-20.09|13.824|0.284|16.397||35.118|0.149|105.584460726878|0.978|2MASXJ23215182-0041268,2MIG3156,6dFJ2321518-004127,CGCG380-043,MCG+00-59-033,NIBLES2528,PGC071206,SDSSJ232151.81-004126.7,SDSSJ232151.82-004126.7,SDSSJ232151.83-004126.7,UZC231918-00570,[ISI96]2319-0057
NGC2825|9.3229019|33.7427642|191.0891125|44.3066981|0.068||0.7|Sa|7958.4|1.9|113.691427176339|15.028|0.382|-20.317|13.406|0.06|16.211||35.345|0.135|117.219602450329|1.04|2MASXJ09192241+3344340,ABELL0779:[HO98]260,CGCG181-017,MCG+06-21-010,NGC2825,NRGb032.026,PGC026345,SDSSJ091922.43+334433.9,SDSSJ091922.44+334433.9,SDSSJ091922.44+334434.0,UZC091618+33570
PGC072808|23.9033541|0.3769624|94.0304725|-59.2446393|0.185||-2.9|E-S0|7984.7|2.6|114.067145647321|15.028|0.28|-20.294|13.495|0.319|17.343||35.322|0.136|115.984437137635|0.916|ARP323:,CGCG381-060:,HCG098B,KPG595B,MCG+00-60-059,NGC7783:,NPM1G+00.0650,PGC072808,SDSSJ235412.07+002237.3,SDSSJ235412.08+002237.2,SDSSJ235412.08+002237.3,UGC12837:,VV208:
PGC170089|10.7408|-8.9001389|257.9837215|42.622525|0.172||-3|E-S0|8236.2|32.6|117.660002790179|15.03|0.362|-20.349|12.805|0.079|||35.379|0.133|119.069443400103|0.84|2MASXJ10442687-0854004,6dFJ1044269-085401,NPM1G-08.0326,PGC170089
IC3199|12.3626728|10.5956197|278.6083584|72.0514017|0.143||2|SBab|7934.8|3.1|113.354282924107|15.03|0.261|-20.315|13.426|0.077|16.459||35.345|0.135|117.219602450329|0.998|2MASXJ12214563+1035438,CGCG070-026,IC3199,NGC4325:[ZM98]0008,NPM1G+10.0296,PGC039983,SDSSJ122145.59+103544.2,SDSSJ122145.60+103544.2,UGC07417,UZC121912+10530,VCC0500
ESO528-018|20.5586028|-24.6238611|19.7435819|-32.5846642|0.211||3|Sb|7442.6|45|106.322858537946|15.03|0.2|-20.138|13.36|0.088|||35.168|0.147|108.043800794727|1.061|2MASXJ20333098-2437257,6dFJ2033310-243726,ESO528-018,ESOLV5280180,IRAS20306-2447,MCG-04-48-015,PGC064958
IC3186|12.3488591|24.6685718|230.9598275|82.7134998|0.102||3.3|Sb|7364.8|14.9|105.21142578125|15.031|0.27|-20.173|13.972|0.089|15.971|14.441|35.204|0.144|109.849911946474|0.723|2MASXJ12205567+2440084,AGC220417,CGCG128-080,IC3186,MCG+04-29-066,PGC039875,SDSSJ122055.87+244006.8,SDSSJ122055.88+244006.8,SDSSJ122055.88+244006.9,UZC121824+24570
UGC08069|12.9531633|29.0449558|89.7674171|87.7015951|0.052||0.7|Sa|7481.6|2.5|106.880001395089|15.031|0.626|-20.209|12.96|0.3|16.135||35.24|0.141|111.686411107433|1.083|2MASXJ12571140+2902418,CGCG160-038,MCG+05-31-024,PGC044263,SDSSJ125711.38+290242.2,SDSSJ125711.39+290242.2,SDSSJ125711.40+290242.3,UGC08069,UZC125448+29180,[RGD2016]J125711.39+290242.2,[WKE96]NSER03318,[WTK2001]J125711.36+290240.7
UGC06375|11.3621275|46.2097549|159.8990954|63.9577727|0.096||2.1|Sab|7453.6|5.3|106.480001395089|15.031|0.271|-20.209|13.658|0.14|16.181||35.24|0.142|111.686411107433|1.051|2MASXJ11214361+4612354,2MFGC08873,CGCG242-024,IRAS11189+4629,MCG+08-21-025,PGC034837,SDSSJ112143.67+461234.9,SDSSJ112143.68+461234.9,SDSSJ112143.68+461235.0,SDSSJ112143.69+461234.9,UGC06375,UZC111854+46300
IC3690|12.71367|10.3574318|295.6206414|73.1067049|0.088||1|SBa|7592.6|4.6|108.465715680804|15.032|0.192|-20.318|14.066|0.06|16.636||35.35|0.021|117.489672934729|0.933|2MASXJ12424923+1021268,AGC007879,CGCG071-004,IC3690,IRAS12402+1037,PGC042732,SDSSJ124249.19+102126.8,SDSSJ124249.19+102126.9,UGC07879,UZC124018+10380,VCC1940
PGC042759|12.7175|-1.2827328|298.5325081|61.5173387|0.167||4.1|Sbc|7122.6|4.4|101.751429966518|15.032|0.686|-20.061|14.038|0.239|16.673||35.093|0.151|104.375772055067|0.881|2DFGRSN252Z162,2MASXJ12430298-0116582,AGC520620,CGCG015-003,MCG+00-33-003,PGC042759,SDSSJ124303.00-011657.8,SDSSJ124303.00-011657.9,UZC124030-01000
PGC214205|14.0724271|12.0159562|355.0113556|67.1818184|0.118||4|Sbc|7454.6|9.8|106.494287109375|15.033|0.318|-20.195|13.591|0.091|16.486||35.228|0.143|111.070858372351|0.879|2MASXJ14042076+1200577,CGCG074-078,PGC214205,SDSSJ140420.74+120057.6,SDSSJ140420.75+120057.6,UZC140148+12150
PGC145695|3.6195518|-5.5847987|191.8707943|-45.1089967|0.204||-5|E|8347.3|2.9|119.247140066964|15.033|0.443|-20.357|13.389|0.091|16.375||35.39|0.133|119.674019493071|0.858|2MASXJ03371039-0535055,6dFJ0337104-053505,NIBLES0397,NPM1G-05.0156,PGC145695,SDSSJ033710.36-053505.0,SDSSJ033710.36-053505.1,SDSSJ033710.37-053505.1
PGC028364|9.8510275|47.1676186|170.9147779|49.5998157|0.057||4.9|Sc|7680.2|1.9|109.717145647321|15.033|0.327|-20.254|13.934|0.071|16.073||35.287|0.138|114.129982258723|0.817|2MASXJ09510373+4710040,CGCG239-036,KUG0947+474,MCG+08-18-040,PGC028364,SDSSJ095103.68+471003.1,UZC094748+47250
UGC06168|11.1178632|7.8039774|246.1081144|58.6279217|0.141||3.7|SBbc|8079|4.2|115.414285714286|15.033|0.271|-20.334|14.012|0.125|16.305||35.367|0.134|118.413199539969|1.051|2MASXJ11070429+0748144,AGC006168,CGCG038-130,PGC033645,SDSSJ110704.30+074814.4,UGC06168,UZC110430+08040
UGC04973|9.3772733|60.8654076|153.8895988|41.5952955|0.135||4|Sbc|7759.8|3.5|110.854282924107|15.034|0.411|-20.288|13.697|0.113|16.026||35.322|0.136|115.984437137635|0.925|2MASXJ09223819+6051550,2MIG1262,CGCG288-029,CGCG289-001,KIG0325,MCG+10-14-004,NPM1G+61.0054,PGC026543,SDSSJ092238.17+605155.5,SDSSJ092238.17+605155.6,SDSSJ092238.18+605155.6,UGC04973,UZC091848+61050
UGC10814|17.3226028|49.0404815|75.5534591|34.9244539|0.113||3|SABb|7173.7|45.9|102.481431361607|15.034|0.416|-20.158|||||35.192|0.146|109.244672876289|1.078|2MASXJ17192134+4902256,ARP102:,CGCG252-041,KPG508B,MCG+08-31-043,NPM1G+49.0354,PGC060070,PGC2331862,UGC10814,UZC171800+49050,VV010:,[RC2]A1718+49B
PGC009072|2.388648|53.3929309|136.493265|-7.0421551|0.84||5|Sc|7238|24|103.4|15.034|0.41|-20.134|||||35.168|0.147|108.043800794727|0.932|2MASXJ02231910+5323347,CGCG559-007,HFLLZOAG136.49-7.04,IRAS02198+5309,PGC009072,UZC021954+53100
UGC03822|7.3869172|37.4591314|180.9315546|22.0223705|0.256||4.7|SBc|7116.4|2.2|101.662855747768|15.035|0.299|-20.058|13.248|0.464|16.573||35.093|0.151|104.375772055067|0.972|2MASXJ07231290+3727327,CGCG176-043,CGCG177-003,MCG+06-17-001,PGC020886,SDSSJ072312.90+372733.2,UGC03822,UZC071948+37330
PGC041921|12.5883308|6.5433456|291.6527145|69.0609173|0.09||-1.1|S0-a|7243.4|2.6|103.477141462054|15.035|0.216|-20.108|13.69|0.085|16.66||35.143|0.148|106.80714621305|0.945|2MASXJ12351799+0632361,2MFGC09913,CGCG042-166,EGISJ123518.0+063236,EONJ188.825+06.543,MCG+01-32-108,NPM1G+06.0348,PGC041921,PGC1302740,SDSSJ123517.96+063236.0,SDSSJ123517.97+063235.9,SDSSJ123517.97+063236.1,UZC123242+06490,VCC1607
PGC001409|0.365515|-15.9841115|89.8746054|-76.9219702|0.137||3.9|Sbc|8107.5|20|115.821428571429|15.035|0.355|-20.298|13.452|0.079|||35.333|0.136|116.57355387398|0.811|2MASXJ00215587-1559028,6dFJ0021559-155903,MCG-03-02-001,PGC001409
PGC019199|6.5320667|35.5524722|178.8227825|11.7449089|0.817||4.5|Sbc|6977.1|41|99.6728585379464|15.035|0.41|-20.019|||||35.054|0.155|102.518010824225|0.931|2MASXJ06315544+3533089,CGCG175-003,IRAS06285+3535,MCG+06-15-002,PGC019199,UZC062836+35350
PGC046651|13.3631986|-14.100375|313.9927377|48.1184285|0.314||-3|E-S0|7082.6|36.4|101.180001395089|15.035|0.356|-20.033|||||35.068|0.153|103.181101229175|0.619|2MASXJ13214751-1406014,6dFJ1321475-140601,MCG-02-34-038,NPM1G-13.0420,PGC046651,PGC928944
UGC04564|8.7564436|55.118785|162.6185629|38.0842112|0.152|0.919|0.5|SBa|7865.5|4.1|112.364285714286|15.036|0.262|-20.309|13.623|0.059|16.651|14.39|35.345|0.135|117.219602450329|0.959|2MASXJ08452317+5507075,CGCG263-083,CGCG264-010,IRAS08416+5517,MCG+09-15-017,NIBLES0723,PGC024603,SDSSJ084523.20+550707.5,SDSSJ084523.21+550707.4,SDSSJ084523.21+550707.5,SDSSJ084523.22+550707.5,UGC04564,UZC084136+55170,[RMG2011]J084523+55
UGC12721|23.6533056|27.1152778|103.7122459|-33.0460423|0.393||3|Sb|7602.8|4.1|108.61142578125|15.036|0.064|-20.193|12.928|0.053|||35.229|0.131|111.121992061953|1.135|2MASXJ23391190+2706550,AGC012721,ALFALFA2-432,CGCG476-098,DRCG37-067,IRAS23367+2651,MCG+04-55-040,NGC7726,PGC072024,UGC12721,UZC233642+26500
UGC08786|13.8812891|-1.895645|332.3806509|57.4205537|0.208||2.1|SBab|7277.1|24.6|103.958572823661|15.037|0.304|-20.118|13.742|0.331|17.607||35.155|0.148|107.398880859336|1.272|2DFGRSN202Z268,2MASXJ13525268-0153431,2MFGC11207,CGCG017-087,EGISJ135252.6-015344,EONJ208.219-01.896,FGC1678,IRAS13502-0138,PGC049306,PGC1107060,RFGC2666,SDSSJ135252.63-015345.3,UGC08786,UZC135018-01390
PGC026023|9.2287583|16.8628824|212.6141095|38.883559|0.124||1|Sa|8156.6|3.5|116.522858537946|15.037|0.468|-20.342|13.373|0.071|16.279||35.379|0.133|119.069443400103|0.959|2MASXJ09134350+1651465,CGCG091-026,LAMOSTJ091343.51+165146.3,MCG+03-24-013,NPM1G+17.0247,NRGs027.005,PGC026023,SDSSJ091343.51+165146.2,SDSSJ091343.51+165146.3,UZC091054+17040
UGC10984|17.7776553|51.281387|78.5997511|30.7326166|0.169||2|Sab|7076.8|3.9|101.097140066964|15.037|0.321|-20.118|||||35.155|0.147|107.398880859336|1.065|2MASXJ17463958+5116528,CGCG278-026,MCG+09-29-030,PGC060838,SDSSJ174639.55+511652.9,UGC10984,UZC174530+51200
UGC01531|2.0428898|17.1677754|146.2334221|-42.4625338|0.227||2.9|Sb|8168.8|3.7|116.697140066964|15.037|0.321|-20.342|||||35.379|0.133|119.069443400103|1.064|2MASXJ02023441+1710039,2MFGC01557,AGC001531,CGCG461-033,MCG+03-06-026,PGC007770,PGC1526301,UGC01531,UZC015948+16550
NGC5880|15.2503181|-14.5788472|347.2294085|35.6604585|0.59||-5|E|7475.4|15.7|106.791427176339|15.037|0.477|-20.167|12.635|0.079|||35.204|0.144|109.849911946474|0.941|2MASXJ15150115-1434437,6dFJ1515011-143444,MCG-02-39-012,NGC5880,NPM1G-14.0561,PGC054427
IC1460|22.9511333|4.6768611|77.607183|-47.8737793|0.291||-4.9|E|7278.9|3.5|103.984284319196|15.038|0.08|-20.105||||14.298|35.143|0.148|106.80714621305|0.782|2MASXJ22570408+0440367,AGC320462,ARK570,CGCG405-017,IC1460,IRAS22545+0424,KUG2254+044,MCG+01-58-015,MRK0923,NPM1G+04.0590,PGC070086,UZC225430+04250
IC1007|14.4101625|4.5591561|351.5946893|58.3324474|0.131||1|Sa|7835.9|37.1|111.941427176339|15.038|0.289|-20.284|13.823|0.053|16.1||35.322|0.137|115.984437137635|0.874|2MASXJ14243659+0433333,8ZW412,AGC241519,CGCG047-034,IC1007,PGC051465,SDSSJ142436.58+043332.9,SDSSJ142436.58+043333.0,SDSSJ142436.59+043333.0,UZC142206+04460
PGC032341|10.8145801|50.0366565|160.2035051|57.2794319|0.064||4|Sbc|6901.5|2.4|98.5928571428571|15.038|0.397|-20.03|14.158|0.079|16.18||35.068|0.153|103.181101229175|0.909|2MASXJ10485248+5002118,CGCG241-015,IRAS10458+5018,MCG+08-20-028,MRK0152,PGC032341,SBS1045+503,SDSSJ104852.48+500211.9,SDSSJ104852.48+500212.0,SDSSJ104852.49+500212.0,UZC104554+50180,[RC2]A1045+50
NGC5572|14.3264716|36.1406912|64.1376412|69.2512335|0.056||3.3|Sb|7420.5|2|106.007142857143|15.039|0.328|-20.201|13.724|0.141|15.6||35.24|0.141|111.686411107433|0.948|2MASXJ14193527+3608265,AGC009173,CGCG191-079,CGCG192-002,IRAS14174+3622,KUG1417+363,MCG+06-31-099,NGC5572,PGC051196,SDSSJ141935.29+360826.4,SDSSJ141935.30+360826.4,UGC09173,UZC141730+36220
IC1882|3.1303639|3.1479167|175.6644309|-45.303832|0.515||3.3|Sb|7175.8|15.1|102.51142578125|15.039|0.321|-20.028|12.75|0.1|||35.067|0.154|103.133621605158|1.056|2MASXJ03074931+0308525,AGC002551,CGCG390-003,IC1882,MCG+00-09-002,PGC011718,UGC02551,UZC030512+02580
PGC023159|8.2607399|58.2968531|159.0911187|33.7760371|0.251||-2|S0|7966.4|2.7|113.805712890625|15.039|0.379|-20.339|13.24|0.065|16.466||35.378|0.133|119.014443549259|1.013|2MASXJ08153862+5817489,CGCG287-061,MCG+10-12-108,PGC023159,SDSSJ081538.67+581748.6,UZC081136+58270
PGC047222|13.4666889|-16.3561667|315.5201848|45.6200161|0.351||-2|S0|7278.8|36.2|103.982854352679|15.04|0.354|-20.091|12.202|0.085|||35.131|0.149|106.21848524413|1.044|2MASXJ13280008-1621222,6dFJ1328001-162122,MCG-03-34-079,NPM1G-16.0422,PGC047222
UGC03903|7.552623|19.1994087|199.9145394|17.5843517|0.249||2|Sab|8040|3.4|114.857142857143|15.04|0.726|-20.293|12.41|0.1|||35.333|0.135|116.57355387398|1.194|2MASXJ07330945+1911580,CGCG087-008,MCG+03-20-004,NPM1G+19.0150,PGC021261,UGC03903,UZC073018+19180
PGC037028|11.8435556|-7.6079306|277.7909768|52.2695912|0.253||4.1|Sbc|7706|25|110.085714285714|15.04|0.5|-20.212|13.238|0.098|||35.252|0.141|112.305177934512|0.92|2MASXJ11503680-0736285,6dFJ1150368-073629,MCG-01-30-038,PGC037028
ESO604-006|23.2484066|-20.9959029|43.2677051|-67.1690828|0.121||3.9|Sbc|7639.2|6.6|109.131431361607|15.04|0.384|-20.164|12.995|0.075|||35.204|0.144|109.849911946474|1.31|2MASXJ23145425-2059453,2MFGC17443,6dFJ2314543-205945,ESO604-006,FGCE1812,MCG-04-54-015,PGC070808,RFGC4090
UGC03057|4.5540806|76.5669167|134.6103063|19.0419846|0.68||3.1|Sb|7885.8|4|112.654282924107|15.04|0.321|-20.327|||||35.367|0.134|118.413199539969|1.047|2MASXJ04331469+7634009,CGCG347-005,IRAS04263+7627,KUG0426+764,MCG+13-04-005,PGC015509,UGC03057,UZC042618+76280
PGC046733|13.3807556|-11.3721944|315.1533576|50.7527754|0.209||2|Sab|7013|45|100.185714285714|15.04|0.5|-20.015|||||35.055|0.155|102.565207039515|0.635|2MASXJ13225072-1122199,6dFJ1322507-112220,IISZ040,PGC046733
ESO424-036|5.8828028|-28.3503889|233.6064545|-24.4683483|0.13||-2.9|E-S0|8231|33|117.585714285714|15.04|0.2|-20.282|||||35.322|0.136|115.984437137635|0.961|2MASXJ05525809-2821014,ESO424-036,ESOLV4240360,PGC018046
PGC000329|0.0797864|-1.5702548|97.3453124|-62.1019897|0.148||2|Sab|7185.1|6.9|102.644287109375|15.04|0.318|-20.053|13.379|0.074|||35.093|0.152|104.375772055067|0.848|2MASXJ00044720-0134126,6dFJ0004472-013413,CGCG382-024,HIPASSJ0004-01,IRAS00022-0150,MCG+00-01-025,PGC000329,PGC1115593,UZC000218-01510
UGC07228|12.2268833|46.4939722|141.5434547|69.2436588|0.081||2.9|Sb|7568|18|108.114285714286|15.04|0.321|-20.236|||||35.276|0.139|113.553413851838|1.05|2MASXJ12133678+4629383,CGCG243-052,MCG+08-22-085,PGC039013,UGC07228,UZC121100+46450
PGC022169|7.9150083|54.1205833|163.9525519|30.801209|0.169||4.9|Sc|7585|37.6|108.357142857143|15.041|0.41|-20.223|||||35.264|0.141|112.927571246804|0.91|2MASXJ07545403+5407141,CGCG262-048,MCG+09-13-088,PGC022169,UZC075054+54150
PGC054756|15.3430583|79.496|115.1576839|35.2700977|0.114||||6750|18|96.4285714285714|15.041|0.41|-20.014|||||35.055|0.154|102.565207039515|0.91|2MASXJ15203501+7929456,7ZW601,CGCG354-023,IRAS15227+7940,PGC054756,UZC152254+79410
PGC038616|12.1542548|41.611017|151.0717595|73.1336042|0.058||-4.5|E|6908.4|2.9|98.6914271763393|15.041|0.449|-20.039|13.187|0.105|16.151||35.08|0.153|103.752929069538|1.017|2MASXJ12091534+4136393,CGCG215-035,MCG+07-25-031,NPM1G+41.0290,PGC038616,SDSSJ120915.32+413639.7,UZC120642+41530
PGC022914|8.1686361|57.8368889|159.6646729|33.0574765|0.198||3.9|Sbc|7795|60|111.357142857143|15.042|0.41|-20.28|||||35.322|0.137|115.984437137635|0.908|2MASXJ08100709+5750128,CGCG287-047,MCG+10-12-082,PGC022914,SBS0806+579A,UZC080600+57590
PGC035641|11.5479333|43.51496|161.8993441|67.1950709|0.114||3|SBb|7295.2|3|104.217145647321|15.042|0.387|-20.15|13.976|0.057|16.406||35.192|0.145|109.244672876289|0.847|2MASXJ11325256+4330538,ARK299,CGCG214-017,MCG+07-24-021,PGC035641,SDSSJ113252.56+433053.8,SDSSJ113252.56+433053.9,UZC113012+43470
PGC022627|8.0636444|61.2871944|155.5882653|32.1892746|0.29||3.9|Sbc|7497|65|107.1|15.043|0.41|-20.209|||||35.252|0.142|112.305177934512|0.905|2MASXJ08034912+6117139,CGCG287-035,IRAS07595+6125,MCG+10-12-067,PGC022627,UZC075936+61250
UGC08681|13.7095045|35.0203441|71.899209|76.5230533|0.054||2|Sab|7281.1|4.4|104.015715680804|15.043|0.321|-20.149|13.507|0.076|15.971||35.192|0.144|109.244672876289|0.977|2MASXJ13423422+3501129,AGC008681,CGCG190-044,IRAS13403+3515,MCG+06-30-075,PGC048558,SDSSJ134234.19+350113.1,UGC08681,UZC134018+35160
PGC035452|11.5035763|24.1696236|217.5837593|71.4788021|0.073||0.9|SBa|6998.8|2.4|99.9828543526786|15.043|0.386|-20.037|13.295|0.063|16.195||35.08|0.152|103.752929069538|0.975|2MASXJ11301289+2410109,CGCG126-071,MCG+04-27-050,NPM1G+24.0246,PGC035452,SDSSJ113012.88+241010.6,SDSSJ113012.88+241010.7,UZC112730+24260,[RGD2016]J113012.88+241010.7
PGC001526|0.4056556|-14.2322053|95.479209|-75.6392646|0.135||-5|E|7273.8|19.3|103.91142578125|15.043|0.314|-20.05|12.56|0.074|||35.093|0.152|104.375772055067|0.91|2MASXJ00242036-1413559,6dFJ0024204-141356,MCG-02-02-010,NPM1G-14.0010,PGC001526
NGC0810|2.0912949|13.2512736|149.2450604|-45.8036558|0.443||-4.4|E|7781.6|31.6|111.165715680804|15.043|0.519|-20.221|12.592|0.105|16.171||35.264|0.14|112.927571246804|1.147|2MASXJ02052852+1315054,CGCG438-024,MCG+02-06-026,NGC0810,PGC007965,SDSSJ020528.49+131504.0,SDSSJ020528.56+131505.8,UGC01583,UZC020242+13000
