Name,RA,DEC,l,b,extinct,eff_B-V,t,type,v,e_v,dist_Hf,bt,e_bt,Bmagt,it,e_it,ut,vt,modbest,e_modbest,dist_Mpc,logd25,hl_names(pgc),appDiam_arcsec,appDiam_kpc,est_vt,est_Vmagt,Sn,Ngc,sigma_G,mu_g,vis_GCs,pc_vis_GCs
PGC055442,233.45385,21.1362113,32.739848,52.6323627,0.249,,-5.0,E,7025.7,2.8,100.367145647321,14.758,0.339,-20.36,13.223,0.07,16.08,,35.118,0.15,105.584460726878,0.86,"2MASXJ15334894+2108102,ARK477,CGCG136-015,MCG+04-37-003,PGC055442,SDSSJ153348.91+210810.3,SDSSJ153348.91+210810.4,SDSSJ153348.92+210810.3,UZC153142+21190",43.4661576044994,22.249779703490933,14.03461882846756,-21.083381171532444,1.7646166764520785,478,3.176,27.918000000000003,15,3.149
UGC00835,19.66725,31.0358889,129.7715122,-31.473917,0.26,,5.9,Sc,6837.3,2.0,97.6757114955357,14.759,0.319,-20.257,13.49,0.029,,,35.016,0.157,100.739494681502,0.942,"2MASXIJ0118402+310209,2MASXJ01184014+3102092,AGC000835,CGCG502-023,LCSB_L56O,MCG+05-04-013,PGC004698,UGC00835,UZC011554+30470",52.49902651364616,25.64044022134385,14.03557933707997,-20.98042066292003,1.6809293067058206,414,3.1657,27.816,13,3.29
PGC024776,132.2485335,41.0031966,180.6716463,38.959892,0.134,,-5.0,E,7389.8,1.9,105.568568638393,14.759,0.32,-20.433,13.246,0.084,16.386,,35.192,0.145,109.244672876289,1.056,"2MASXJ08485965+4100114,CGCG208-047,MCG+07-18-050,NIBLES0743,PGC024776,SDSSJ084859.64+410011.3,SDSSJ084859.64+410011.4,UZC084542+41120",68.25763714940587,36.15147136787761,14.03557933707997,-21.15642066292003,1.8300383321371783,530,3.1833,27.992,15,2.98
PGC037060,177.75576,36.4904007,173.0028755,74.146482,0.093,,4.3,Sbc,6350.2,2.9,90.7171456473214,14.759,0.5,-20.136,13.634,0.074,15.462,,34.895,0.166,95.279636488069,0.816,"2MASXJ11510138+3629253,KUG1148+367,PGC037060,SDSSJ115101.38+362925.6",39.27817044403649,18.143697679316475,14.03557933707997,-20.859420662920034,1.5949561428811876,351,3.1536,27.695000000000004,12,3.446
UGC09413,218.53474949999998,77.8993056,116.3241685,37.8793681,0.126,,4.0,Sbc,6880.0,66.7,98.2857142857143,14.759,0.319,-20.334,,,,,35.093,0.153,104.375772055067,0.943,"2MASXJ14340834+7753575,CGCG353-043,CGCG354-006,IRAS14348+7807,KPG429A,MCG+13-11-001,PGC052066,UGC09413,UZC143454+78060",52.620049268618075,26.627194473069476,14.03557933707997,-21.057420662920034,1.7425837369160035,461,3.1734,27.893000000000004,14,3.168
ESO466-012,327.661791,-29.1827437,19.0214153,-50.342516,0.133,,-1.1,S0-a,6998.4,21.5,99.9771414620536,14.76,0.288,-20.256,,,,,35.016,0.157,100.739494681502,1.048,"2MASXJ21503882-2910579,2MIG2967,6dFJ2150388-291058,ESO466-012,ESOLV4660120,IRAS21477-2925,MCG-05-51-018,PGC067456",67.01179486683367,32.72845297353062,14.036539845692378,-20.97946015430762,1.6801947592877013,414,3.1656000000000004,27.816,13,3.283
NGC3014,147.281991,-4.7430094,241.7549178,35.6692685,0.223,,4.0,Sbc,6304.9,5.5,90.0699986049107,14.76,0.5,-20.022,14.38,1.137,,,34.782,0.174,90.4482771909796,0.968,"2MASXJ09490765-0444345,6dFJ0949077-044435,MCG-01-25-043,NGC3014,PGC028222,PGC1054062,SS2b144.018",55.73798320679617,24.441396044672953,14.036539845692378,-20.74546015430762,1.5257798355064551,303,3.1422,27.581999999999997,11,3.791
NGC5818,224.74326,49.821387,84.5465453,56.7150056,0.089,,-2.1,S0,7853.6,9.6,112.194287109375,14.76,0.357,-20.618,12.77,0.081,16.049,,35.378,0.133,119.014443549259,0.997,"2MASXJ14585835+4949169,CGCG248-039,MCG+08-27-046,NGC5818,NPM1G+50.0301,PGC053530,SDSSJ145858.39+494917.0,UGC09643,UZC145712+50010",59.58696290525603,34.38154428991532,14.036539845692378,-21.341460154307622,2.019097545700447,694,3.2017999999999995,28.178,18,2.671
PGC086794,195.3552885,29.3137491,78.3371478,86.8998298,0.048,,3.4,S?,7136.0,20.4,101.942857142857,14.76,0.5,-20.383,,,14.92,14.02,35.143,0.148,106.80714621305,0.76,"CGCG160-096:,KPG363B,PGC086794,SDSSJ130125.26+291849.4,UGC08135:,[RGD2016]J130125.26+291849.5",34.52639624022942,17.878291767579974,14.02,-21.123,1.7994706844708617,506,3.1783,27.943,15,3.083
UGC01432,29.3615415,17.2206111,144.6522573,-42.8499592,0.228,,4.1,Sbc,8055.6,2.8,115.080001395089,14.761,0.319,-20.584,,,,,35.345,0.135,117.219602450329,0.93,"2MASXJ01572677+1713142,AGC001432,ARP056,CGCG461-010,KIG0076,MCG+03-06-004,PGC007359,UGC01432,UZC015442+16580,VV012",51.0682822921426,29.02190748845481,14.037500354304788,-21.30749964569521,1.9818387574152894,660,3.1984000000000004,28.145,18,2.758
