name,objid,candid,ra,dec,distnr,gals,consolid,tnsid,tnstype,tnsdiscoverydate,tnsdiscoverymag,simbadid,gaiadesignation,gaiaprllx,gaiadist,location
ZTF21ababpoq_1590198221915015024,ZTF21ababpoq,1590198221915015024,126.8621425,17.2867455,2.957425355911255,NGC2596,2021lwd,2021lwd,SN IIb,2021-05-02 05:22:33.600,20.33,,,,,spiral
ZTF21aclzzex_1796541255215015009,ZTF21aclzzex,1796541255215015009,182.2931756,29.1752971,2.1084682941436768,NGC4134,2021adlx,2021adlx,,2021-11-05 13:08:49.998,18.822,AT 2021adlx,,,,spiral
ZTF19accdehb_1039502195115015007,ZTF19accdehb,1039502195115015007,124.9609273,-14.7154813,4.355205535888672,PGC090082,2019rsg,2019rsg,SN Ia,2019-10-02 12:33:59.000,18.124,,,,,spiral
ZTF21acdxume_1734159440615015001,ZTF21acdxume,1734159440615015001,249.0469526,66.0286167,1.901824712753296,PGC058587,2021aaco,2021aaco,,2021-09-27 04:45:19.296,19.9908,,,,,halo
ZTF23aaitpjv_2336199070915015002,ZTF23aaitpjv,2336199070915015002,186.608994,31.226306,2.3909168243408203,NGC4414,2023hlf,2023hlf,SN II,2023-05-01 05:41:03.840,17.84,,,,,spiral
ZTF19abahswi_906199183515015017,ZTF19abahswi,906199183515015017,252.4565093,55.5582801,8.901018142700195,NGC6246,,,,,,,,,,halo
ZTF18ablqebm_582177772115015001,ZTF18ablqebm,582177772115015001,189.0863862,25.9876633,1.8571252822875977,NGC4565,NGC  4565,,,,,NGC  4565,,,,nucleus
ZTF19acpmblp_2343235766015010005,ZTF19acpmblp,2343235766015010005,175.5508995,0.33446,0.9535651206970215,UGC06665,Mrk 1304,,,,,Mrk 1304,Gaia DR2 3795854614025238016,,0.00027109086498585403,bulge
ZTF20aaeibax_1587180081115010008,ZTF20aaeibax,1587180081115010008,154.2235696,73.4006964,1.015758752822876,NGC3147,NGC  3147,,,,,NGC  3147,,,,nucleus
ZTF18acfhodh_2009422886115010006,ZTF18acfhodh,2009422886115010006,351.2056033,15.2755764,1.1987946033477783,NGC7653,NGC  7653,,,,,NGC  7653,Gaia DR2 2814290278621817216,,0.00037623484685854025,bulge
ZTF23aakhdlu_2328349655015010001,ZTF23aakhdlu,2328349655015010001,239.1119166,78.9778975,4.8067731857299805,NGC6068,,,,,,,,,,star
ZTF20acigvin_1380195872115015015,ZTF20acigvin,1380195872115015015,341.4969088,10.8669936,4.884635925292969,NGC7374,,,,,,,,,,halo
ZTF20aadcjdr_1101509031515015012,ZTF20aadcjdr,1101509031515015012,197.6762486,37.0881767,0.44670456647872925,NGC5005,2020er,2020er,,2020-01-04 12:53:22.000,20.2836,,,,,spiral
ZTF18acfucxy_1509200053715015000,ZTF18acfucxy,1509200053715015000,24.6449195,34.992182,2.0689878463745117,UGC01166,,,,,,,,,,bulge
ZTF19acxytxu_2202503841115010009,ZTF19acxytxu,2202503841115010009,193.7619048,8.0654723,1.2918939590454102,NGC4795,NGC  4795,,,,,NGC  4795,Gaia DR2 3733612768311608704,,0.0003698737753286851,bulge
ZTF20aaksjvq_1157484562515010011,ZTF20aaksjvq,1157484562515010011,210.4209165,54.3939697,2.4249331951141357,NGC5457,,,,,,,,,,bulge
ZTF21aacirhn_1550164953515015000,ZTF21aacirhn,1550164953515015000,128.0851479,41.3589799,2.500868320465088,PGC023948,,,,,,,,,,bulge
ZTF20aappkrl_1145537123515015019,ZTF20aappkrl,1145537123515015019,252.445952,55.5593593,9.127732276916504,NGC6246,,,,,,,,,,halo
ZTF22aamxlrg_1981234594415010001,ZTF22aamxlrg,1981234594415010001,170.0658459,12.9847872,2.1451797485351562,NGC3627,,,,,,,,,,spiral
